Gene	feature_identifier	Protein	P.Value	adj.P.Val	logFC	AveExpr	B
	_g14868.t1	g14868.t1	0.000361545021682645	0.798626361315891	2.29416054204591	13.7867829184047	-4.42243149579837
	_g9429.t2	g9429.t2	0.000647322925694016	0.798626361315891	-1.64901553144507	10.6800816992502	-4.42993526965952
	_g11774.t1	g11774.t1	0.00134747308579055	0.798626361315891	-1.4173595122917	13.5567954077454	-4.44086022805503
	_g21563.t1	g21563.t1	0.00137881439910354	0.798626361315891	1.56523414881469	12.1194388736353	-4.4412319285992
	_g7221.t1	g7221.t1	0.00219109683117226	0.798626361315891	-1.51619238482277	14.078991613875	-4.44912565465731
	_g27635.t1	g27635.t1	0.00367559109513562	0.798626361315891	-4.1082135145449	8.79969518262799	-4.45891288435114
	_g1735.t1	g1735.t1	0.00724727761396297	0.798626361315891	-2.50293809392635	7.42596592381941	-4.47346143828822
	_g23643.t1	g23643.t1	0.0086433393415298	0.798626361315891	1.70567908560923	14.7798330357534	-4.47757474564351
	_g26784.t1	g26784.t1	0.00865764629069936	0.798626361315891	1.43649270730167	9.90804966862612	-4.47761404899652
	_g9191.t1	g9191.t1	0.00926728385327787	0.798626361315891	1.94972150807618	12.5018245780533	-4.47924231681026
	_g27994.t1	g27994.t1	0.00953515497184962	0.798626361315891	-3.94745435573695	7.66544192949958	-4.47993066729531
	_g21974.t1	g21974.t1	0.0103026138627598	0.798626361315891	3.48392008933297	6.75167623675341	-4.48182021255949
	_g25132.t1	g25132.t1	0.0123188253826805	0.798626361315891	1.15580545885624	11.250673659022	-4.48629296474627
	_g25272.t1	g25272.t1	0.0129807185868519	0.798626361315891	-3.95310905694674	7.60386161556776	-4.48763208527288
	_g22799.t1	g22799.t1	0.013404338898627	0.798626361315891	-1.4122666934207	12.3714019651256	-4.48846041078449
	_g24749.t1	g24749.t1	0.0145001681439171	0.798626361315891	1.10307406283081	11.8429553584051	-4.49050875850082
	_g13182.t1	g13182.t1	0.0158082516585115	0.798626361315891	-2.50546148371665	8.61929800353401	-4.49279544933791
	_g875.t1	g875.t1	0.0161528454997471	0.798626361315891	1.05603208259508	13.1573467756648	-4.49337215210745
	_g10199.t1	g10199.t1	0.0175420892754804	0.798626361315891	-1.36773349865358	12.6826901310626	-4.49560014455592
	_g333.t1	g333.t1	0.018438584218172	0.798626361315891	1.12237179650874	12.9208860128734	-4.49696261749962
	_g26990.t1	g26990.t1	0.019015834634454	0.798626361315891	-1.33540575075659	8.99547449025972	-4.49781153942587
	_g16824.t1	g16824.t1	0.0190266128800649	0.798626361315891	-2.63673086691356	9.23290547499014	-4.49782718881924
	_g24513.t1	g24513.t1	0.0201347571776534	0.798626361315891	-1.16197947777975	14.2949652928528	-4.49939876409956
	_g18862.t1	g18862.t1	0.0229904470227599	0.798626361315891	1.30436311784395	10.5575692333731	-4.50314438199897
	_g4859.t3	g4859.t3	0.023351091125182	0.798626361315891	0.815096913327864	17.2504736849364	-4.50358979959341
	_g26544.t1	g26544.t1	0.0233874150754313	0.798626361315891	-1.12297892210149	10.7221256495537	-4.50363434757051
	_g9460.t1	g9460.t1	0.0253684020227897	0.798626361315891	-1.42757799739326	10.7962039643541	-4.50598172987898
	_g599.t1	g599.t1	0.0254798476511927	0.798626361315891	-1.27933245642601	10.4495575519575	-4.50610923945983
